response_type,inference_path,has_multi,has_likelihood,has_loglik,has_score,uses_wald_ci,uses_wald_test,optimization_via,optim_alg,irls_avail,has_analytic_hess
all,BaiAdjustedT,N,Y,Y,Y,Y,Y,none/closed-form statistic,NA,NA,N
all,BaiAdjustedTKK14,N,Y,Y,Y,Y,Y,none/closed-form statistic,NA,NA,N
all,BaiAdjustedTKK21,N,Y,Y,Y,Y,Y,none/closed-form statistic,NA,NA,N
all,KKCompoundMeanDiff,N,Y,Y,Y,Y,Y,none/closed-form statistic,NA,NA,N
all,KKWilcoxIVWC,N,Y,Y,Y,Y,Y,none/rank statistic,NA,NA,N
all,MLEorKMSummaryTable,N,Y,Y,Y,Y,Y,none/summary table,NA,NA,N
all,SimpleMeanDiff,N,Y,Y,Y,Y,Y,none/closed-form statistic,NA,NA,N
all,SimpleMeanDiffPooledVar,N,Y,Y,Y,Y,Y,none/closed-form statistic,NA,NA,N
all,SimpleWilcox,N,Y,Y,Y,Y,Y,none/rank statistic,NA,NA,N
continuous,KKGLMM,Y,Y,Y,Y,Y,Y,ourself/Rcpp GLMM,L-BFGS,N,Y
continuous,KKQuantileRegrIVWC,Y,Y,Y,Y,Y,Y,quantreg,NA,NA,N
continuous,KKQuantileRegrOneLik,Y,Y,Y,Y,Y,Y,quantreg,NA,NA,N
continuous,KKRobustRegrIVWC,Y,Y,Y,Y,Y,Y,ourself/Rcpp robust,IRLS,Y,N
continuous,KKRobustRegrOneLik,Y,N,N,N,Y,Y,ourself/Rcpp robust,IRLS,Y,N
continuous,Lin,Y,Y,Y,Y,Y,Y,ourself/closed-form linear estimator,closed-form QR solve,Y,N
continuous,OLS,Y,Y,Y,Y,Y,Y,ourself/Rcpp OLS,closed-form QR solve,Y,Y
continuous,QuantileRegr,Y,Y,Y,Y,Y,Y,quantreg,NA,NA,N
continuous,RobustRegr,Y,Y,Y,Y,Y,Y,ourself/Rcpp robust,IRLS,Y,N
count,HurdleNegBin,Y,Y,Y,Y,Y,Y,ourself/Rcpp hurdle negative binomial,IRLS plus L-BFGS,Y,Y
count,HurdlePoisson,Y,Y,Y,Y,Y,Y,ourself/Rcpp zero-augmented Poisson,L-BFGS,N,N
count,KKCPoissonIVWC,Y,Y,Y,Y,Y,Y,ourself/Rcpp conditional-Poisson plus negative binomial,weighted logistic IRLS plus L-BFGS,N,Y
count,KKCPoissonOneLik,Y,Y,Y,Y,Y,Y,ourself/Rcpp conditional-Poisson combined likelihood,Newton-Raphson,N,Y
count,KKGLMM,Y,Y,Y,Y,Y,Y,ourself/Rcpp GLMM,L-BFGS,N,Y
count,KKHurdlePoissonIVWC,Y,Y,Y,Y,Y,Y,ourself/Rcpp GLMM and Poisson,L-BFGS,N,N
count,KKHurdlePoissonOneLik,Y,Y,Y,Y,Y,Y,ourself/Rcpp GLMM and Poisson,L-BFGS,N,N
count,NegBin,Y,Y,Y,Y,Y,Y,ourself/Rcpp negative binomial,L-BFGS,N,Y
count,Poisson,Y,Y,Y,Y,Y,Y,ourself/Rcpp Poisson,IRLS,Y,Y
count,QuasiPoisson,Y,Y,Y,Y,Y,Y,ourself/Rcpp quasi-Poisson,IRLS,Y,Y
count,RobustPoisson,Y,Y,Y,Y,Y,Y,ourself/Rcpp Poisson,IRLS,Y,Y
count,ZeroInflatedNegBin,Y,Y,Y,Y,Y,Y,ourself/Rcpp negative binomial,L-BFGS,N,Y
count,ZeroInflatedPoisson,Y,Y,Y,Y,Y,Y,ourself/Rcpp zero-augmented Poisson,L-BFGS,N,N
incidence,Azriel,N,Y,Y,Y,Y,Y,none/design-specific statistic,NA,NA,N
